Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,UpDown
2002-03-12,0.7936000227928162,0.7730000019073486,0.7885000109672546,1,300,12,2002,0
2002-03-13,0.8000000119209291,0.7820000052452087,0.7910000085830688,2,300,13,2002,1
2002-03-14,0.8000000119209291,0.7739999890327454,0.7975000143051147,3,300,14,2002,1
2002-03-15,0.8100000023841858,0.7910000085830688,0.8090000152587891,4,300,15,2002,1
2002-03-18,0.8355000019073486,0.8029999732971191,0.8330000042915344,0,300,18,2002,1
2002-03-19,0.8360000252723694,0.8220000267028809,0.8320000171661377,1,300,19,2002,0
2002-03-20,0.8450000286102295,0.8159999847412109,0.8159999847412109,2,300,20,2002,0
2002-03-21,0.8309999704360962,0.7950000166893005,0.8289999961853027,3,300,21,2002,1
2002-03-22,0.8339999914169312,0.7979999780654907,0.7990000247955322,4,300,22,2002,0
2002-03-25,0.8000000119209291,0.781499981880188,0.7879999876022339,0,300,25,2002,0
2002-03-26,0.8025000095367432,0.781499981880188,0.8019999861717224,1,300,26,2002,1
2002-03-27,0.8190000057220459,0.7850000262260437,0.815500020980835,2,300,27,2002,1
2002-03-28,0.8299999833106995,0.8080000281333923,0.8280000090599059,3,300,28,2002,1
2002-04-01,0.8529999852180481,0.8331000208854675,0.8479999899864197,0,400,1,2002,1
2002-04-02,0.8740000128746033,0.8464999794960022,0.8690000176429749,1,400,2,2002,1
2002-04-03,0.8700000047683716,0.8420000076293945,0.8489999771118164,2,400,3,2002,0
2002-04-04,0.8675000071525574,0.8209999799728394,0.8249999880790709,3,400,4,2002,0
2002-04-05,0.8349999785423279,0.7864999771118164,0.8180000185966492,4,400,5,2002,0
2002-04-08,0.8629999756813049,0.8220000267028809,0.8399999737739563,0,400,8,2002,1
2002-04-09,0.8460000157356262,0.8289999961853027,0.8335000276565552,1,400,9,2002,0
2002-04-10,0.8450000286102295,0.8220000267028809,0.8324999809265137,2,400,10,2002,0
2002-04-11,0.8343999981880188,0.7879999876022339,0.7900000214576721,3,400,11,2002,0
2002-04-12,0.7950000166893005,0.7260000109672546,0.7325000166893005,4,400,12,2002,0
2002-04-15,0.7870000004768372,0.7369999885559082,0.7850000262260437,0,400,15,2002,1
2002-04-16,0.8019999861717224,0.777999997138977,0.7925000190734863,1,400,16,2002,1
2002-04-17,0.8100000023841858,0.7829999923706055,0.8069999814033508,2,400,17,2002,1
2002-04-18,0.8209999799728394,0.8047000169754028,0.8084999918937683,3,400,18,2002,1
2002-04-19,0.8059999942779541,0.7829999923706055,0.8044999837875366,4,400,19,2002,0
2002-04-22,0.809499979019165,0.7760000228881836,0.7910000085830688,0,400,22,2002,0
2002-04-23,0.8100000023841858,0.7860000133514404,0.8009999990463257,1,400,23,2002,1
2002-04-24,0.8009999990463257,0.7760000228881836,0.7864999771118164,2,400,24,2002,0
2002-04-25,0.8050000071525574,0.7777000069618225,0.7929999828338623,3,400,25,2002,1
2002-04-26,0.8169999718666077,0.7777000069618225,0.8130000233650208,4,400,26,2002,1
2002-04-29,0.8360000252723694,0.8009999990463257,0.8330000042915344,0,400,29,2002,1
2002-04-30,0.8339999914169312,0.8109999895095825,0.8109999895095825,1,400,30,2002,0
2002-05-01,0.8149999976158142,0.7979999780654907,0.8050000071525574,2,500,1,2002,0
2002-05-02,0.8050000071525574,0.7680000066757202,0.7864999771118164,3,500,2,2002,0
2002-05-03,0.7950000166893005,0.7739999890327454,0.7889999747276306,4,500,3,2002,1
2002-05-06,0.7849000096321106,0.7630000114440918,0.7735000252723694,0,500,6,2002,0
2002-05-07,0.7870000004768372,0.7639999985694885,0.781000018119812,1,500,7,2002,1
2002-05-08,0.7925000190734863,0.7789999842643738,0.7860000133514404,2,500,8,2002,1
2002-05-09,0.7879999876022339,0.7649999856948853,0.7730000019073486,3,500,9,2002,0
2002-05-10,0.7979999780654907,0.7756999731063843,0.7904999852180481,4,500,10,2002,1
2002-05-13,0.7990000247955322,0.7764999866485596,0.7990000247955322,0,500,13,2002,1
2002-05-14,0.8299999833106995,0.7994999885559082,0.8259999752044678,1,500,14,2002,1
2002-05-15,0.8274999856948853,0.7799999713897705,0.7900000214576721,2,500,15,2002,0
2002-05-16,0.7985000014305115,0.781000018119812,0.7985000014305115,3,500,16,2002,1
2002-05-17,0.8050000071525574,0.7829999923706055,0.8050000071525574,4,500,17,2002,1
2002-05-20,0.8199999928474426,0.7950000166893005,0.8050000071525574,0,500,20,2002,1
2002-05-21,0.8100000023841858,0.7770000100135803,0.7839999794960022,1,500,21,2002,0
2002-05-22,0.8009999990463257,0.781499981880188,0.7979999780654907,2,500,22,2002,1
2002-05-23,0.8100000023841858,0.7829999923706055,0.7882999777793884,3,500,23,2002,0
2002-05-24,0.7925000190734863,0.7730000019073486,0.7900999784469604,4,500,24,2002,1
2002-05-28,0.7860000133514404,0.7570000290870667,0.7574999928474426,1,500,28,2002,0
2002-05-29,0.7730000019073486,0.746999979019165,0.7720000147819519,2,500,29,2002,1
2002-05-30,0.7720000147819519,0.7279999852180481,0.7350000143051147,3,500,30,2002,0
2002-05-31,0.75,0.7269999980926514,0.75,4,500,31,2002,1
2002-06-03,0.7524999976158142,0.7379999756813049,0.7462000250816345,0,600,3,2002,0
2002-06-04,0.7580000162124634,0.7425000071525574,0.7534999847412109,1,600,4,2002,1
2002-06-05,0.7549999952316284,0.7419999837875366,0.7519999742507935,2,600,5,2002,0
2002-06-06,0.7630000114440918,0.7329999804496765,0.7570000290870667,3,600,6,2002,1
2002-06-07,0.7599999904632568,0.7450000047683716,0.753000020980835,4,600,7,2002,0
2002-06-10,0.75,0.7350000143051147,0.7379000186920166,0,600,10,2002,0
2002-06-11,0.7379000186920166,0.722000002861023,0.7319999933242798,1,600,11,2002,0
